event_name,event_date,event_location,event_url,fight_url,r_fighter,b_fighter,r_fighter_url,b_fighter_url,winner_name,finish_round,finish_time,time_format,total_rounds,referee,is_title_bout,weight_class,r_kd,b_kd,r_sig_str,r_sig_str_att,b_sig_str,b_sig_str_att,r_sig_str_pct,b_sig_str_pct,r_str,r_str_att,b_str,b_str_att,r_td,r_td_att,b_td,b_td_att,r_td_pct,b_td_pct,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl_sec,b_ctrl_sec,r_name,r_wins,r_losses,r_draws,r_height_in,r_weight_lbs,r_reach_in,r_stance,r_dob,r_slpm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_acc,r_td_def,r_sub_avg,b_name,b_wins,b_losses,b_draws,b_height_in,b_weight_lbs,b_reach_in,b_stance,b_dob,b_slpm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_acc,b_td_def,b_sub_avg,win_red
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/1330b5c21269fe92,Brandon Moreno,Lone'er Kavanagh,http://ufcstats.com/fighter-details/792be9a24df82ed6,http://ufcstats.com/fighter-details/bb2c3c3a466224af,Lone'er Kavanagh,5,5:00,5 Rnd (5-5-5-5-5),5,Herb Dean,0,Flyweight,0,0,19,40,18,45,0.47,0.4,19,40,18,45,0,0,0,0,,,0,0,0,0,0,0,Brandon Moreno,23,10,2,67.0,125.0,70.0,Orthodox,"Dec 07, 1993",3.84,0.44,3.64,0.59,1.36,0.39,0.65,0.4,Lone'er Kavanagh,10,1,0,66.0,125.0,67.0,Orthodox,"Jun 09, 1999",4.13,0.48,3.49,0.56,1.12,0.45,0.94,0.2,0
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/36d12b31957e94db,Marlon Vera,David Martinez,http://ufcstats.com/fighter-details/7c7332319c14094c,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa,David Martinez,3,5:00,3 Rnd (5-5-5),3,Marc Goddard,0,Bantamweight,0,0,5,39,19,41,0.12,0.46,13,48,26,51,0,0,1,1,,1.0,0,0,0,0,0,45,Marlon Vera,23,12,1,68.0,135.0,70.0,Switch,"Dec 02, 1992",4.18,0.47,5.34,0.5,0.47,0.39,0.71,0.8,David Martinez,14,1,0,65.0,135.0,67.0,Orthodox,"Aug 03, 1998",4.82,0.46,2.9,0.69,0.6,0.25,1.0,0.0,0
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/81f3d28d30d17378,Daniel Zellhuber,King Green,http://ufcstats.com/fighter-details/4148802ae4a50768,http://ufcstats.com/fighter-details/887961364be5ceb3,King Green,2,4:55,3 Rnd (5-5-5),3,Herb Dean,0,Lightweight,0,0,11,46,41,64,0.23,0.64,11,46,41,64,0,0,2,2,,1.0,0,0,0,0,0,4,Daniel Zellhuber,15,4,0,73.0,155.0,77.0,Switch,"Jul 07, 1999",5.45,0.38,6.17,0.54,0.14,0.25,0.81,0.3,King Green,34,17,1,70.0,155.0,71.0,Orthodox,"Sep 09, 1986",6.38,0.53,3.58,0.62,1.31,0.42,0.72,0.3,0
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/7df505d8260ba680,Edgar Chairez,Felipe Bunes,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,http://ufcstats.com/fighter-details/53c10176e3bc7416,Edgar Chairez,3,5:00,3 Rnd (5-5-5),3,Marc Goddard,0,Flyweight,0,0,4,9,5,13,0.44,0.38,6,11,64,81,0,0,0,1,,0.0,0,0,0,0,0,206,Edgar Chairez,13,6,0,67.0,125.0,71.0,Orthodox,"Jan 27, 1996",3.65,0.45,4.75,0.46,0.0,0.0,0.38,1.3,Felipe Bunes,14,9,0,67.0,125.0,69.0,Orthodox,"Oct 29, 1989",3.17,0.46,4.57,0.47,1.08,0.25,0.4,1.4,1
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/15068d7b095ca9bd,Imanol Rodriguez,Kevin Borjas,http://ufcstats.com/fighter-details/6e8349a0a0476d60,http://ufcstats.com/fighter-details/34b96d52db1d26e6,Imanol Rodriguez,2,4:21,3 Rnd (5-5-5),3,Raul Porrata,0,Flyweight,0,2,12,22,12,23,0.54,0.52,21,31,14,25,1,1,0,0,1.0,,0,0,0,0,208,0,Imanol Rodriguez,7,0,0,64.0,125.0,64.0,Orthodox,"Nov 15, 1999",5.71,0.55,2.42,0.58,1.3,0.33,0.0,0.0,Kevin Borjas,10,5,0,65.0,125.0,68.0,Orthodox,"Dec 06, 1997",3.96,0.44,5.64,0.49,0.0,0.0,0.7,0.0,1
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/3b76a00f5d0400eb,Santiago Luna,Angel Pacheco,http://ufcstats.com/fighter-details/faf317c665546a36,http://ufcstats.com/fighter-details/07797f10b9569cfc,Santiago Luna,3,5:00,3 Rnd (5-5-5),3,Fernando Salas Navarro,0,Bantamweight,0,0,26,56,25,74,0.46,0.33,31,61,26,75,2,2,0,0,1.0,,0,0,0,0,50,0,Santiago Luna,8,0,0,69.0,135.0,74.0,Orthodox,"Aug 06, 2004",8.2,0.54,3.82,0.71,4.21,0.83,0.5,0.8,Angel Pacheco,7,4,0,68.0,135.0,70.0,Orthodox,"Jan 13, 1992",7.58,0.36,10.56,0.41,0.33,0.5,0.16,0.0,1
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/45ec0c5f19c9adbe,Ryan Gandra,Jose Daniel Medina,http://ufcstats.com/fighter-details/e463ce0a2ca474f4,http://ufcstats.com/fighter-details/baa9be02c3e3e038,Ryan Gandra,1,0:41,3 Rnd (5-5-5),3,Horacio Lopez Villanueva,0,Middleweight,1,0,14,29,0,3,0.48,0.0,14,29,0,3,0,0,0,0,,,0,0,0,0,0,0,Ryan Gandra,9,1,0,73.0,185.0,74.0,Orthodox,"May 08, 1995",13.02,0.5,1.7,0.81,0.0,0.0,1.0,0.0,Jose Daniel Medina,11,7,0,72.0,185.0,74.0,Orthodox,"May 17, 1991",2.13,0.36,5.34,0.46,0.39,0.33,0.27,0.0,1
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/c40b934d2666e351,Ailin Perez,Macy Chiasson,http://ufcstats.com/fighter-details/06e4245d16fc5315,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,Ailin Perez,3,5:00,3 Rnd (5-5-5),3,Raul Porrata,0,Women'S Bantamweight,0,0,6,7,4,5,0.85,0.8,10,11,24,41,2,2,0,0,1.0,,0,0,0,2,79,168,Ailin Perez,13,2,0,65.0,135.0,66.0,Switch,"Oct 05, 1994",2.88,0.56,1.58,0.56,4.9,0.49,0.72,0.2,Macy Chiasson,11,6,0,71.0,135.0,72.0,Orthodox,"Jul 27, 1991",3.21,0.46,2.76,0.44,1.87,0.35,0.62,0.4,1
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/25ab195cefbce1d0,Cristian Quinonez,Kris Moutinho,http://ufcstats.com/fighter-details/7debc13b36343605,http://ufcstats.com/fighter-details/9c27f3217891f3f0,Cristian Quinonez,3,5:00,3 Rnd (5-5-5),3,Marc Goddard,0,Bantamweight,0,0,23,37,16,39,0.62,0.41,24,40,16,39,2,3,0,0,0.66,,0,0,0,0,61,0,Cristian Quinonez,19,5,0,68.0,135.0,70.0,Orthodox,"Apr 26, 1996",3.67,0.43,3.71,0.56,3.14,0.55,0.85,0.6,Kris Moutinho,14,8,0,67.0,135.0,68.0,Southpaw,"Aug 09, 1992",3.35,0.33,9.36,0.3,0.0,0.0,0.3,0.0,1
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/6154ee95d3f4fc32,Douglas Silva de Andrade,Javier Reyes,http://ufcstats.com/fighter-details/3a314d9fa7c6825d,http://ufcstats.com/fighter-details/4a574b8512fc1b30,Javier Reyes,1,4:59,3 Rnd (5-5-5),3,Herb Dean,0,Featherweight,0,1,17,27,46,75,0.62,0.61,19,29,87,125,0,0,1,2,,0.5,0,0,0,0,4,117,Douglas Silva de Andrade,29,7,0,67.0,145.0,68.0,Orthodox,"Jun 22, 1985",3.54,0.38,4.09,0.56,0.54,0.42,0.71,0.2,Javier Reyes,23,5,0,67.0,145.0,73.0,,"Oct 10, 1993",8.91,0.55,2.53,0.47,2.0,0.5,0.5,0.0,0
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/44d58943ac8e47e1,Regina Tarin,Ernesta Kareckaite,http://ufcstats.com/fighter-details/9f5609dba6584ab2,http://ufcstats.com/fighter-details/e4faa79383c9f214,Regina Tarin,3,5:00,3 Rnd (5-5-5),3,Raul Porrata,0,Catch Weight,0,0,37,79,33,82,0.46,0.4,39,81,39,90,0,0,0,0,,,0,0,0,0,0,21,Regina Tarin,8,0,0,67.0,135.0,66.0,Southpaw,"Oct 19, 2004",7.6,0.47,7.0,0.57,1.0,0.33,0.5,0.0,Ernesta Kareckaite,6,2,1,69.0,125.0,71.0,Orthodox,"Jul 05, 1998",7.28,0.42,6.47,0.49,0.75,0.6,0.81,0.0,1
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/581292ffe5b09344,Erik Silva,Francis Marshall,http://ufcstats.com/fighter-details/21b813b919776d90,http://ufcstats.com/fighter-details/5d495dec23d7c68e,Francis Marshall,1,2:29,3 Rnd (5-5-5),3,Fernando Salas Navarro,0,Featherweight,0,0,5,9,3,5,0.55,0.6,5,9,10,13,0,0,1,2,,0.5,0,1,0,0,0,102,Erik Silva,9,4,0,69.0,145.0,71.0,Orthodox,"Mar 16, 1987",2.06,0.67,1.52,0.4,3.26,0.8,0.6,0.0,Francis Marshall,9,3,0,69.0,145.0,72.0,Orthodox,"Mar 03, 1999",3.39,0.33,4.03,0.53,2.86,0.45,0.66,0.6,0
UFC Fight Night: Moreno vs. Kavanagh,"February 28, 2026","Mexico City, Distrito Federal, Mexico",http://ufcstats.com/event-details/0cfbbfa0ba6d9855,http://ufcstats.com/fight-details/c6a85b67fdd2ef3d,Damian Pinas,Wes Schultz,http://ufcstats.com/fighter-details/fdd22e895a70e4a8,http://ufcstats.com/fighter-details/b4443fae47e7eb9d,Damian Pinas,1,2:30,3 Rnd (5-5-5),3,Horacio Lopez Villanueva,0,Middleweight,2,0,15,23,3,13,0.65,0.23,22,30,5,16,0,0,0,6,,0.0,0,0,0,0,49,28,Damian Pinas,9,1,0,73.0,185.0,79.0,Orthodox,"Mar 12, 2002",7.5,0.56,3.75,0.56,0.0,0.0,1.0,0.0,Wes Schultz,8,3,0,73.0,185.0,77.0,Orthodox,"Aug 09, 1996",4.6,0.43,4.97,0.45,4.52,0.25,0.0,1.1,1
