red_fighter,blue_fighter,odds_red_DK,odds_blue_DK,odds_red_FD,odds_blue_FD,odds_red_PIN,odds_blue_PIN,is_title_bout,total_rounds,age_diff,height_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,str_def_total_diff,td_avg_diff,td_acc_total_diff,td_def_total_diff,sub_avg_diff,wins_total_diff,losses_total_diff
Alexander Volkanovski,Diego Lopes,-142,120,-146,124,1.699,2.27,1,5,6,-5,-1,2.08,-1.36,0.08,0.11,0.88,-0.21,0.03,-1.5,0,-3
Dan Hooker,Benoit Saint Denis,285,-360,310,-390,4.25,1.259,0,3,5,1,2,-0.18,0.52,-0.07,0.08,-3.62,-0.03,0.07,-1.1,8,10
Rafael Fiziev,Mauricio Ruffy,-118,-102,-116,-102,1.862,2.03,0,3,4,-3,-4,0.93,0.61,-0.05,-0.1,0.89,0.72,0.06,0,1,2
Tai Tuivasa,Tallison Teixeira,250,-310,265,-330,3.65,1.324,0,3,6,-5,-8,-9.06,-3.8,-0.13,-0.12,0,0,0.57,0,7,7
Quillan Salkilld,Jamie Mullarkey,-1000,650,-1000,660,1.105,8.04,0,3,-5,0,1,1.29,-0.84,0.11,-0.11,5.37,0.05,0.22,0.4,-8,-7
Junior Tafa,Billy Elekana,225,-278,220,-270,3.29,1.378,0,3,-1,0,-2,0.53,-0.79,-0.09,0.05,-0.55,-0.25,0.69,-0.6,-3,2
