red_fighter,blue_fighter,odds_red_DK,odds_blue_DK,odds_red_FD,odds_blue_FD,odds_red_PIN,odds_blue_PIN,is_title_bout,total_rounds,age_diff,height_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,str_def_total_diff,td_avg_diff,td_acc_total_diff,td_def_total_diff,sub_avg_diff,wins_total_diff,losses_total_diff
Arman Tsarukyan,Dan Hooker,-650,470,-590,440,1.166,5.67,0,5,-6,-5,-2.5,-1.24,-2.88,0,0.02,2.52,0.03,-0.03,-0.3,-2,-9
Belal Muhammad,Ian Machado Garry,220,-270,220,-270,3.25,1.375,0,3,9,-4,-2,-0.31,1.01,-0.11,0.04,1.22,0.05,0.17,-0.3,8,3
Volkan Oezdemir,Alonzo Menifield,-225,185,-230,190,1.458,2.87,0,3,-2,2,-1,1.16,0.46,-0.05,0.05,0,-0.02,0.02,-0.1,3,3
Jack Hermansson,Myktybek Orolbai,170,-205,184,-220,2.78,1.483,0,3,10,3,3.5,2.02,0.62,-0.03,0.07,-4.32,-0.16,0.4,-0.3,10,7
Waldo Cortes Acosta,Shamil Gaziev,-135,114,-134,114,1.709,2.22,0,3,-1,0,0,2.96,-0.35,0,0.11,-0.6,0.2,-0.11,-0.2,1,1
